Country, Population
Burundi,  11 531
Comoros,   851
Djibouti,   974
Eritrea,  3 497
Ethiopia,  112 079
Kenya,  52 574
Madagascar,  26 969
Malawi,  18 629
Mauritius,  1 270
Mayotte,   266
Mozambique,  30 366
Réunion,   889
Rwanda,  12 627
Seychelles,   98
Somalia,  15 443
South Sudan,  11 062
Uganda,  44 270
United Republic of Tanzania,  58 005
Zambia,  17 861
Zimbabwe,  14 645
Angola,  31 825
Cameroon,  25 876
Central African Republic,  4 745
Chad,  15 947
Congo,  5 381
Democratic Republic of the Congo,  86 791
Equatorial Guinea,  1 356
Gabon,  2 173
Sao Tome and Principe,   215
Botswana,  2 304
Eswatini,  1 148
Lesotho,  2 125
Namibia,  2 495
South Africa,  58 558
Benin,  11 801
Burkina Faso,  20 321
Cabo Verde,   550
Côte d'Ivoire,  25 717
Gambia,  2 348
Ghana,  30 418
Guinea,  12 771
Guinea-Bissau,  1 921
Liberia,  4 937
Mali,  19 658
Mauritania,  4 526
Niger,  23 311
Nigeria,  200 964
Saint Helena,   6
Senegal,  16 296
Sierra Leone,  7 813
Togo,  8 082
Algeria,  43 053
Egypt,  100 388
Libya,  6 777
Morocco,  36 472
Sudan,  42 813
Tunisia,  11 695
Western Sahara,   582
Armenia,  2 958
Azerbaijan,  10 048
Bahrain,  1 641
Cyprus,  1 199
Georgia,  3 997
Iraq,  39 310
Israel,  8 519
Jordan,  10 102
Kuwait,  4 207
Lebanon,  6 856
Oman,  4 975
Qatar,  2 832
Saudi Arabia,  34 269
State of Palestine,  4 981
Syrian Arab Republic,  17 070
Turkey,  83 430
United Arab Emirates,  9 771
Yemen,  29 162
Kazakhstan,  18 551
Kyrgyzstan,  6 416
Tajikistan,  9 321
Turkmenistan,  5 942
Uzbekistan,  32 982
Afghanistan,  38 042
Bangladesh,  163 046
Bhutan,   763
India, 1 366 418
Iran (Islamic Republic of),  82 914
Maldives,   531
Nepal,  28 609
Pakistan,  216 565
Sri Lanka,  21 324
China, 1 433 784
"China, Hong Kong SAR",  7 436
"China, Macao SAR",   640
"China, Taiwan Province of China",  23 774
Dem. People's Republic of Korea,  25 666
Japan,  126 860
Mongolia,  3 225
Republic of Korea,  51 225
Brunei Darussalam,   433
Cambodia,  16 487
Indonesia,  270 626
Lao People's Democratic Republic,  7 169
Malaysia,  31 950
Myanmar,  54 045
Philippines,  108 117
Singapore,  5 804
Thailand,  69 626
Timor-Leste,  1 293
Viet Nam,  96 462
Anguilla,   15
Antigua and Barbuda,   97
Aruba,   106
Bahamas,   389
Barbados,   287
"Bonaire, Sint Eustatius and Saba",   26
British Virgin Islands,   30
Cayman Islands,   65
Cuba,  11 333
Curaçao,   163
Dominica,   72
Dominican Republic,  10 739
Grenada,   112
Guadeloupe,   400
Haiti,  11 263
Jamaica,  2 948
Martinique,   376
Montserrat,   5
Puerto Rico,  2 933
Saint Barthélemy,   10
Saint Kitts and Nevis,   53
Saint Lucia,   183
Saint Martin (French part),   38
Saint Vincent and the Grenadines,   111
Sint Maarten (Dutch part),   42
Trinidad and Tobago,  1 395
Turks and Caicos Islands,   38
United States Virgin Islands,   105
Belize,   390
Costa Rica,  5 048
El Salvador,  6 454
Guatemala,  17 581
Honduras,  9 746
Mexico,  127 576
Nicaragua,  6 546
Panama,  4 246
Argentina,  44 781
Bolivia (Plurinational State of),  11 513
Brazil,  211 050
Chile,  18 952
Colombia,  50 339
Ecuador,  17 374
Falkland Islands (Malvinas),   3
French Guiana,   291
Guyana,   783
Paraguay,  7 045
Peru,  32 510
Suriname,   581
Uruguay,  3 462
Venezuela (Bolivarian Republic of),  28 516
Australia,  25 203
New Zealand,  4 783
Fiji,   890
New Caledonia,   283
Papua New Guinea,  8 776
Solomon Islands,   670
Vanuatu,   300
Guam,   167
Kiribati,   118
Marshall Islands,   59
Micronesia (Fed. States of),   114
Nauru,   11
Northern Mariana Islands,   57
Palau,   18
American Samoa,   55
Cook Islands,   18
French Polynesia,   279
Niue,   2
Samoa,   197
Tokelau,   1
Tonga,   104
Tuvalu,   12
Wallis and Futuna Islands,   11
Belarus,  9 452
Bulgaria,  7 000
Czechia,  10 689
Hungary,  9 685
Poland,  37 888
Republic of Moldova,  4 043
Romania,  19 365
Russian Federation,  145 872
Slovakia,  5 457
Ukraine,  43 994
Channel Islands,   172
Denmark,  5 772
Estonia,  1 326
Faroe Islands,   49
Finland,  5 532
Iceland,   339
Ireland,  4 882
Isle of Man,   85
Latvia,  1 907
Lithuania,  2 760
Norway,  5 379
Sweden,  10 036
United Kingdom,  67 530
Albania,  2 881
Andorra,   77
Bosnia and Herzegovina,  3 301
Croatia,  4 130
Gibraltar,   34
Greece,  10 473
Holy See,   1
Italy,  60 550
Malta,   440
Montenegro,   628
North Macedonia,  2 083
Portugal,  10 226
San Marino,   34
Serbia,  8 772
Slovenia,  2 079
Spain,  46 737
Austria,  8 955
Belgium,  11 539
France,  65 130
Germany,  83 517
Liechtenstein,   38
Luxembourg,   616
Monaco,   39
Netherlands,  17 097
Switzerland,  8 591
Bermuda,   63
Canada,  37 411
Greenland,   57
Saint Pierre and Miquelon,   6
United States of America,  329 065
